epoch,attributes_binary_accuracy,attributes_loss,attributes_precision,attributes_recall,category_loss,category_sparse_categorical_accuracy,loss,val_attributes_binary_accuracy,val_attributes_loss,val_attributes_precision,val_attributes_recall,val_category_loss,val_category_sparse_categorical_accuracy,val_loss
0,0.9942184090614319,0.019444787874817848,0.6938161253929138,0.2744826078414917,1.6277735233306885,0.561211884021759,0.052000585943460464,0.9937961101531982,0.0204485896974802,0.6965726017951965,0.23984727263450623,1.4353114366531372,0.6110403537750244,0.049140024930238724
1,0.9943097233772278,0.018821630626916885,0.7015565633773804,0.2904565632343292,1.5727559328079224,0.5772356390953064,0.0502827987074852,0.9937987327575684,0.02019704133272171,0.6907317042350769,0.24574799835681915,1.4092402458190918,0.6101911067962646,0.04836118221282959
2,0.9943483471870422,0.018539877608418465,0.703285813331604,0.298378050327301,1.5432668924331665,0.5850857496261597,0.049412377178668976,0.9938147664070129,0.02007707953453064,0.6976628303527832,0.24349184334278107,1.4123272895812988,0.612738847732544,0.04830725118517876
3,0.9943738579750061,0.01838047057390213,0.7056707739830017,0.30264976620674133,1.5227360725402832,0.5894722938537598,0.04883259907364845,0.9937812089920044,0.020078377798199654,0.6734417080879211,0.2587643265724182,1.4073071479797363,0.6208068132400513,0.04820558428764343
4,0.9943857789039612,0.01828009821474552,0.7045623660087585,0.30639776587486267,1.5140429735183716,0.5917083621025085,0.04856143519282341,0.9938147664070129,0.020194312557578087,0.6807639598846436,0.2598056197166443,1.4239610433578491,0.6144373416900635,0.0486658476293087
5,0.9944087266921997,0.018100012093782425,0.7055153846740723,0.3109517991542816,1.4937348365783691,0.5958855748176575,0.04797694832086563,0.9938769936561584,0.019785724580287933,0.7003319263458252,0.2563346028327942,1.3737421035766602,0.6250531077384949,0.04724222049117088
6,0.9944294691085815,0.018075639382004738,0.7078068852424622,0.31380370259284973,1.4902085065841675,0.5953146815299988,0.04788612201809883,0.993928074836731,0.019649174064397812,0.7160975337028503,0.2547726631164551,1.3752031326293945,0.6326963901519775,0.04713470861315727
7,0.994425356388092,0.01805187575519085,0.7059439420700073,0.31446248292922974,1.4798650741577148,0.6018136143684387,0.047647926956415176,0.993928074836731,0.019770657643675804,0.7097538113594055,0.2601527273654938,1.3718711137771606,0.6233545541763306,0.0471968874335289
8,0.9944280385971069,0.017966032028198242,0.7070984244346619,0.31404513120651245,1.4721280336380005,0.600976288318634,0.04740952327847481,0.9938920140266418,0.019685473293066025,0.6973744630813599,0.26275599002838135,1.3727055788040161,0.6233545541763306,0.0471227690577507
9,0.9944354891777039,0.017921097576618195,0.707646906375885,0.3158290982246399,1.473513126373291,0.601375937461853,0.04739483445882797,0.993897020816803,0.019706230610609055,0.6975677013397217,0.2637972831726074,1.3776942491531372,0.6203821897506714,0.04725181683897972
10,0.9944526553153992,0.017889168113470078,0.7086551785469055,0.31869736313819885,1.4627834558486938,0.6040782332420349,0.047145307064056396,0.9939069747924805,0.01964658312499523,0.7006928324699402,0.2632766366004944,1.3807429075241089,0.6157112717628479,0.04724183678627014
11,0.9944649934768677,0.017846453934907913,0.7107264995574951,0.319937139749527,1.4571006298065186,0.6058005094528198,0.04698754847049713,0.9939294457435608,0.01955588534474373,0.7063750624656677,0.2634502053260803,1.3595905303955078,0.6246284246444702,0.046741507947444916
12,0.9944480657577515,0.017856106162071228,0.7078192234039307,0.3187587559223175,1.4575706720352173,0.6048679947853088,0.047004953026771545,0.9938871264457703,0.019656257703900337,0.6955525279045105,0.2632766366004944,1.3744800090789795,0.6233545541763306,0.047136224806308746
13,0.9944570660591125,0.017791548743844032,0.7102039456367493,0.3181327283382416,1.451825737953186,0.6070470213890076,0.046827204525470734,0.993857204914093,0.019650183618068695,0.6946923732757568,0.2566817104816437,1.377376914024353,0.6242038011550903,0.04717806726694107
14,0.994456946849823,0.017793754115700722,0.7091397643089294,0.31946662068367004,1.452359676361084,0.6067520380020142,0.04684707149863243,0.9938659071922302,0.019642943516373634,0.6828521490097046,0.27091288566589355,1.364499807357788,0.6220806837081909,0.04692279174923897
15,0.9944618940353394,0.017791233956813812,0.7092077732086182,0.3201008141040802,1.4441256523132324,0.609796941280365,0.046681489795446396,0.9938820600509644,0.019739879295229912,0.7059679627418518,0.2525164783000946,1.3793625831604004,0.6242038011550903,0.04731997847557068
16,0.9944736957550049,0.01774842105805874,0.7103387117385864,0.32211393117904663,1.4435648918151855,0.6083791851997375,0.046623021364212036,0.9938859343528748,0.019629132002592087,0.6966758966445923,0.2618882358074188,1.358374834060669,0.6254777312278748,0.04677820950746536
17,0.9944754242897034,0.01771540381014347,0.711932361125946,0.32112374901771545,1.439886212348938,0.610596239566803,0.046518441289663315,0.9939120411872864,0.01954372599720955,0.7033069133758545,0.2620617747306824,1.3533155918121338,0.6305732727050781,0.046596743166446686
18,0.9944761991500854,0.01768556982278824,0.7104886174201965,0.32264992594718933,1.440395474433899,0.6101299524307251,0.04649064689874649,0.9938545823097229,0.019573066383600235,0.6911696791648865,0.2594585120677948,1.381640911102295,0.6254777312278748,0.0471721850335598
19,0.9944749474525452,0.017697393894195557,0.7095718383789062,0.3229159116744995,1.4423935413360596,0.6093878149986267,0.046547647565603256,0.9938696622848511,0.019559890031814575,0.6893905401229858,0.26501214504241943,1.3632073402404785,0.6288747191429138,0.04680385813117027
20,0.9944881200790405,0.017660975456237793,0.7121817469596863,0.32389381527900696,1.4394056797027588,0.6107960343360901,0.04645276442170143,0.9938136339187622,0.019702933728694916,0.6781867146492004,0.2622353434562683,1.3838040828704834,0.6161358952522278,0.04736017808318138
21,0.9944769740104675,0.0176567193120718,0.7103508114814758,0.32289543747901917,1.4360891580581665,0.6090357303619385,0.04638192430138588,0.9939107894897461,0.019586067646741867,0.7056604027748108,0.25963208079338074,1.3748500347137451,0.6229299306869507,0.04707197844982147
22,0.9944788217544556,0.017663614824414253,0.7109919786453247,0.32288727164268494,1.4321600198745728,0.6132129430770874,0.04630715027451515,0.9938834309577942,0.01961457170546055,0.695852518081665,0.2620617747306824,1.357574701309204,0.6271762251853943,0.04676595702767372
23,0.994491696357727,0.017600396648049355,0.7120625972747803,0.3246466815471649,1.4219869375228882,0.6142691373825073,0.04604889452457428,0.9939082860946655,0.01933014951646328,0.7079349756240845,0.25702881813049316,1.34112548828125,0.6335456371307373,0.04614422097802162
24,0.9944920539855957,0.01759645715355873,0.7116383910179138,0.3250967562198639,1.4263502359390259,0.6140312552452087,0.04612778499722481,0.9938335418701172,0.019648848101496696,0.6903195381164551,0.25494620203971863,1.3726749420166016,0.6250531077384949,0.04709300771355629
