epoch,attributes_binary_accuracy,attributes_loss,category_loss,category_sparse_categorical_accuracy,loss,val_attributes_binary_accuracy,val_attributes_loss,val_category_loss,val_category_sparse_categorical_accuracy,val_loss
0,0.9930135607719421,0.023430297151207924,1.260670781135559,0.6492473483085632,1.2841531038284302,0.9937888979911804,0.021292371675372124,1.3665605783462524,0.6169851422309875,1.3813625574111938
1,0.9947025179862976,0.01646830327808857,1.0257877111434937,0.7040364146232605,1.042250394821167,0.9938223361968994,0.021200111135840416,1.31181001663208,0.6360934376716614,1.3268871307373047
0,0.9917079210281372,0.028103332966566086,1.3002783060073853,0.6418159008026123,1.3284993171691895,0.9936617016792297,0.021280622109770775,1.345991849899292,0.6254777312278748,1.3655904531478882
1,0.9946739673614502,0.01677805185317993,1.0389906167984009,0.702932596206665,1.0557653903961182,0.9937723875045776,0.020627960562705994,1.2791343927383423,0.6450105905532837,1.2986067533493042
0,0.9947446584701538,0.016297997906804085,0.9693477749824524,0.7204597592353821,0.9857414960861206,0.9938023686408997,0.02030632086098194,1.2377389669418335,0.6484076380729675,1.256892204284668
1,0.9947791695594788,0.01606719382107258,0.9264742732048035,0.7306506633758545,0.9427511096000671,0.993783712387085,0.020525392144918442,1.2255579233169556,0.6564756035804749,1.2446904182434082
2,0.9947963953018188,0.01594412699341774,0.8968018889427185,0.7391573190689087,0.9126940369606018,0.9937500953674316,0.0206599198281765,1.2209906578063965,0.662420392036438,1.2402381896972656
3,0.9948187470436096,0.015857737511396408,0.8719586730003357,0.7446761727333069,0.8879133462905884,0.9937674403190613,0.02068117819726467,1.2139123678207397,0.6679405570030212,1.2327351570129395
4,0.9948210716247559,0.015814021229743958,0.8521321415901184,0.749462366104126,0.8679433465003967,0.9937611818313599,0.02066308632493019,1.2263717651367188,0.6598725914955139,1.2451704740524292
5,0.9948293566703796,0.015769589692354202,0.8340057730674744,0.7544008493423462,0.8497962951660156,0.9937984943389893,0.020656481385231018,1.217077374458313,0.6679405570030212,1.2354627847671509
6,0.9948379397392273,0.015768876299262047,0.8192223310470581,0.7583020925521851,0.8349989652633667,0.9937934279441833,0.020682891830801964,1.2275832891464233,0.6653927564620972,1.245764136314392
7,0.9948364496231079,0.015735439956188202,0.8065866231918335,0.7624317407608032,0.8223957419395447,0.9937959313392639,0.02062419056892395,1.249640941619873,0.6539278030395508,1.2678207159042358
8,0.9948439002037048,0.0157187357544899,0.7951298356056213,0.7651340961456299,0.8108727931976318,0.9937847256660461,0.020721228793263435,1.2496052980422974,0.6628450155258179,1.2684669494628906
9,0.994850218296051,0.01570766791701317,0.783640444278717,0.7678173780441284,0.799481987953186,0.9937711358070374,0.020720547065138817,1.2561551332473755,0.6598725914955139,1.2749865055084229
10,0.9948413968086243,0.015716293826699257,0.7741467356681824,0.7706053853034973,0.789901614189148,0.9937461614608765,0.02078019641339779,1.259559988975525,0.6598725914955139,1.2782691717147827
11,0.9948373436927795,0.015720045194029808,0.7655951976776123,0.7730697989463806,0.7813305854797363,0.9937013983726501,0.020989328622817993,1.2799155712127686,0.6585987210273743,1.2991878986358643
12,0.9948397278785706,0.01572401262819767,0.757463812828064,0.7752963900566101,0.7732441425323486,0.9937324523925781,0.020987099036574364,1.2879308462142944,0.6573248505592346,1.307530403137207
13,0.9948357343673706,0.0157320536673069,0.7500514388084412,0.777009129524231,0.7658940553665161,0.9937935471534729,0.020755259320139885,1.285248875617981,0.6556263566017151,1.3044415712356567
